LONGITUDE,LATITUDE,id,OBJECTID,ID,ADDRESSNUMBERTEXT,ADDRESSSTREET,FRONTINGSTREET,SIDE,FROMSTREET,DIRECTION,SITEID,WARD,BIA,ASSETTYPE,STATUS,SDE_STATE_ID,X,Y,geometry
-79.40362866,43.64667635,7631575,18470,BP-36164,626,Richmond St W,Bathurst St,East,Richmond St W,North,,10,Queen Street West,Ring,Existing,0,312574.523,4834086.062,"{u'type': u'Point', u'coordinates': (-79.4036286605, 43.6466763537)}"
-79.40212314,43.64293001,7631576,18471,BP-36176,59,Bathurst St,Bathurst St,East,Wellington St W,North,,10,,Ring,Existing,0,312696.468,4833670.007,"{u'type': u'Point', u'coordinates': (-79.4021231389, 43.6429300098)}"
-79.39783725,43.63822529,7631577,18472,BP-36181,56,Dan Leckie Way,Housey St,North,Dan Leckie Way,West,,10,CityPlace and Fort York,Ring,Existing,0,313042.886,4833147.757,"{u'type': u'Point', u'coordinates': (-79.397837254, 43.6382252913)}"
-79.40214103,43.64319637,7631578,18473,BP-36202,61,Stewart St,Stewart St,South,Bathurst St,East,,10,,Ring,Existing,0,312694.99,4833699.596,"{u'type': u'Point', u'coordinates': (-79.4021410264, 43.6431963667)}"
-79.39768078,43.63836029,7631579,18474,BP-36206,56,Dan Leckie Way,Dan Leckie Way,West,Housey St,North,,10,CityPlace and Fort York,Ring,Existing,0,313055.493,4833162.77,"{u'type': u'Point', u'coordinates': (-79.3976807732, 43.638360289)}"
-79.40092842,43.6428682,7631580,18475,BP-36208,535,Wellington St W,Wellington St W,South,Ln E Bathurst S Wellington,East,,10,,Ring,Existing,0,312792.863,4833663.254,"{u'type': u'Point', u'coordinates': (-79.4009284229, 43.6428681944)}"
-79.40217308,43.64305204,7631581,18476,BP-36211,59,Bathurst St,Bathurst St,East,Stewart St,South,,10,,Ring,Existing,0,312692.423,4833683.559,"{u'type': u'Point', u'coordinates': (-79.4021730788, 43.6430520392)}"
-79.3991009,43.6388284,7631582,18477,BP-36213,85,Queens Wharf Rd,Queens Wharf Rd,East,Fort York Blvd,South,,10,CityPlace and Fort York,Ring,Existing,0,312940.849,4833214.635,"{u'type': u'Point', u'coordinates': (-79.3991008965, 43.6388284078)}"
-79.40360065,43.6458607,7631583,18478,BP-36226,148,Bathurst St,Bathurst St,West,Portugal Sq,North,,10,,Ring,Existing,0,312576.888,4833995.45,"{u'type': u'Point', u'coordinates': (-79.4036006489, 43.6458606982)}"
-79.39363361,43.68674435,7631584,18479,BP-43964,1408,Yonge St,Yonge St,West,Pleasant Blvd,South,,12,Yonge & St. Clair,Ring,Existing,0,313375.144,4838538.387,"{u'type': u'Point', u'coordinates': (-79.3936336055, 43.6867443584)}"
-79.38673741,43.70022278,7631585,18480,BP-43969,441,Mount Pleasant Rd,Mount Pleasant Rd,West,Davisville Ave,South,,15,,Ring,Existing,0,313929.063,4840036.511,"{u'type': u'Point', u'coordinates': (-79.386737411, 43.7002227855)}"
-79.44181884,43.69741654,7631586,18481,BP-43985,1555,Eglinton Ave W,Eglinton Ave W,South,Oakwood Ave,East,,12,York-Eglinton,Ring,Existing,0,309489.671,4839720.162,"{u'type': u'Point', u'coordinates': (-79.4418188352, 43.6974165452)}"
-79.44746505,43.6960179,7631587,18482,BP-43986,1745,Eglinton Ave W,Northcliffe Blvd,East,Eglinton Ave W,South,,12,York-Eglinton,Ring,Existing,0,309034.658,4839564.476,"{u'type': u'Point', u'coordinates': (-79.4474650548, 43.6960179051)}"
-79.44744893,43.69598194,7631588,18483,BP-43987,1745,Eglinton Ave W,Northcliffe Blvd,East,Eglinton Ave W,South,,12,York-Eglinton,Ring,Existing,0,309035.96,4839560.481,"{u'type': u'Point', u'coordinates': (-79.4474489337, 43.6959819376)}"
-79.3951172,43.648937,7631589,18484,BP-44024,417,Queen St W,Queen St W,South,Ln 1 W Peter N Jack Cooper,West,,10,Queen Street West,Ring,Existing,0,313260.847,4834338.04,"{u'type': u'Point', u'coordinates': (-79.3951172007, 43.6489370073)}"
-79.35499987,43.65322763,7631590,18485,BP-44034,475,Front St E,Front St E,South,Tannery Rd,West,,13,,Ring,Existing,0,316496.261,4834819.575,"{u'type': u'Point', u'coordinates': (-79.3549998721, 43.6532276303)}"
-79.35656534,43.65718696,7631591,18486,BP-44039,543,Queen St E,River St,West,Queen St E,South,,13,,Ring,Existing,0,316369.224,4835259.215,"{u'type': u'Point', u'coordinates': (-79.3565653432, 43.6571869598)}"
-79.35768295,43.65702556,7631592,18487,BP-44043,515,Queen St E,Queen St E,South,Fee Pl,East,,13,,Ring,Existing,0,316279.11,4835241.129,"{u'type': u'Point', u'coordinates': (-79.3576829531, 43.6570255583)}"
-79.35740576,43.65116554,7631593,18488,BP-44070,424,Cherry St,Cherry St,West,Mill St,South,,10,,Ring,Existing,0,316302.587,4834590.153,"{u'type': u'Point', u'coordinates': (-79.3574057535, 43.6511655473)}"
-79.40239849,43.6428969,7631594,18492,BP-36234,70,Bathurst St,Bathurst St,West,Wellington St W,North,,10,,Ring,Existing,0,312674.257,4833666.303,"{u'type': u'Point', u'coordinates': (-79.4023984983, 43.6428969042)}"
-79.39908799,43.63879312,7631595,18493,BP-36273,85,Queens Wharf Rd,Queens Wharf Rd,East,Fort York Blvd,South,,10,CityPlace and Fort York,Ring,Existing,0,312941.895,4833210.717,"{u'type': u'Point', u'coordinates': (-79.3990879912, 43.638793129)}"
-79.38267157,43.66815008,7631596,18494,BP-36292,59,Isabella St,Isabella St,South,Church St,West,,13,,Ring,Existing,0,314261.813,4836473.851,"{u'type': u'Point', u'coordinates': (-79.3826715683, 43.6681500882)}"
-79.38048054,43.67108683,7631597,18495,BP-36304,243,Bloor St E,Ted Rogers Way,West,Bloor St E,South,,11,,Ring,Existing,0,314438.036,4836800.36,"{u'type': u'Point', u'coordinates': (-79.3804805396, 43.6710868336)}"
-79.38292635,43.66818956,7631598,18496,BP-36307,66,Isabella St,Isabella St,North,Church St,West,,13,,Ring,Existing,0,314241.26,4836478.207,"{u'type': u'Point', u'coordinates': (-79.382926353, 43.6681895592)}"
-79.38049211,43.671114,7631599,18497,BP-36333,243,Bloor St E,Ted Rogers Way,West,Bloor St E,South,,11,,Ring,Existing,0,314437.099,4836803.377,"{u'type': u'Point', u'coordinates': (-79.3804921052, 43.6711140027)}"
-79.52434861,43.59642283,7631600,18498,BP-23627,3303,Lake Shore Blvd W,Lake Shore Blvd W,South,Twenty Sixth St,South,,3,Long Branch,Ring,Existing,0,302834.098,4828498.985,"{u'type': u'Point', u'coordinates': (-79.524348616, 43.5964228294)}"
-79.4199773,43.73606036,7631601,18499,BP-23274,2043 1/2,Avenue Rd,Avenue Rd,East,Dunblaine Ave,North,,8,,Ring,Existing,0,311246.056,4844014.787,"{u'type': u'Point', u'coordinates': (-79.4199772994, 43.7360603605)}"
-79.39019412,43.67809899,7631602,18500,BP-23809,1088,Yonge St,Roxborough St W,South,Yonge St,West,,11,Rosedale Main Street,Ring,Existing,0,313653.703,4837578.292,"{u'type': u'Point', u'coordinates': (-79.390194119, 43.6780989936)}"
-79.52247195,43.64476223,7631603,18501,BP-23632,3359A,Bloor St W,Bloor St W,South,Monkton Ave,West,,3,,Ring,Existing,0,302987.073,4833869.146,"{u'type': u'Point', u'coordinates': (-79.5224719458, 43.6447622258)}"
-79.39994391,43.64592361,7631604,18503,BP-21661,6,Maud St,Adelaide St W,North,Maud St,West,,10,,Ring,Existing,0,312871.882,4834002.788,"{u'type': u'Point', u'coordinates': (-79.399943911, 43.6459236081)}"
-79.39969773,43.6445899,7631605,18504,BP-21665,590,King St W,King St W,North,Portland St,East,,10,,Ring,Existing,0,312891.921,4833854.645,"{u'type': u'Point', u'coordinates': (-79.399697734, 43.6445899026)}"
-79.40096423,43.6443398,7631606,18505,BP-21573,624,King St W,King St W,North,Waterloo Ter,West,,10,,Ring,Existing,0,312789.779,4833826.738,"{u'type': u'Point', u'coordinates': (-79.4009642316, 43.6443398056)}"
-79.39574727,43.64538462,7631607,18506,BP-21593,468,King St W,King St W,North,Spadina Ave,West,,10,,Ring,Existing,0,313210.516,4833943.327,"{u'type': u'Point', u'coordinates': (-79.3957472605, 43.6453846276)}"
-79.38840843,43.63857132,7631608,18507,BP-22040,330X,Queens Quay W,Queens Quay W,North,Rees St,West,,10,The Waterfront,Ring,Existing,0,313803.588,4833187.179,"{u'type': u'Point', u'coordinates': (-79.3884084351, 43.6385713285)}"
-79.38710846,43.63863768,7631609,18508,BP-22098,281,Queens Quay W,Queens Quay W,South,Robertson Cres,West,,10,The Waterfront,Ring,Existing,0,313908.465,4833194.692,"{u'type': u'Point', u'coordinates': (-79.3871084527, 43.6386376795)}"
-79.38944613,43.65544459,7631610,18509,BP-22101,500,University Ave,Simcoe St,East,University Ave,West,,11,,Ring,Existing,0,313717.366,4835061.589,"{u'type': u'Point', u'coordinates': (-79.3894461395, 43.6554445869)}"
-79.38634238,43.64161914,7631611,18510,BP-22122,255,Bremner Blvd,Bremner Blvd,South,Rees St,East,,10,Toronto Entertainment District,Ring,Existing,0,313969.821,4833525.999,"{u'type': u'Point', u'coordinates': (-79.3863423781, 43.6416191395)}"
-79.39323817,43.65600759,7631612,18511,BP-22124,29,Baldwin St,Baldwin St,South,Henry St,East,,11,,Ring,Existing,0,313411.417,4835123.736,"{u'type': u'Point', u'coordinates': (-79.3932381726, 43.6560075983)}"
-79.38696415,43.63866323,7631613,18512,BP-22127,281,Queens Quay W,Queens Quay W,South,Robertson Cres,West,,10,The Waterfront,Ring,Existing,0,313920.104,4833197.546,"{u'type': u'Point', u'coordinates': (-79.3869641495, 43.6386632268)}"
-79.37817007,43.65999675,7631614,18513,BP-22159,76,Gerrard St E,Gerrard St E,North,Church St,East,,13,,Ring,Existing,0,314626.161,4835568.583,"{u'type': u'Point', u'coordinates': (-79.3781700678, 43.6599967554)}"
-79.37543389,43.65903231,7631615,18514,BP-22160,250,Jarvis St,Jarvis St,West,Gould St,East,,13,,Ring,Existing,0,314847.007,4835461.767,"{u'type': u'Point', u'coordinates': (-79.3754338966, 43.6590323188)}"
-79.38189021,43.65918813,7631616,18515,BP-22170,399,Yonge St,Gerrard St E,North,Yonge St,East,,13,Downtown Yonge,Ring,Existing,0,314326.242,4835478.316,"{u'type': u'Point', u'coordinates': (-79.3818902067, 43.6591881351)}"
-79.37698734,43.66025943,7631617,18516,BP-22173,102,Gerrard St E,Gerrard St E,North,Mutual St,North,,13,,Ring,Existing,0,314721.51,4835597.905,"{u'type': u'Point', u'coordinates': (-79.3769873444, 43.6602594262)}"
-79.37669928,43.66017269,7631618,18517,BP-22186,111,Gerrard St E,Gerrard St E,South,Ln E Mutual S Gerrard,West,,13,,Ring,Existing,0,314744.758,4835588.303,"{u'type': u'Point', u'coordinates': (-79.3766992796, 43.660172685)}"
-79.38157066,43.6592591,7631619,18518,BP-22187,399,Yonge St,Gerrard St E,North,O'Keefe Lane,West,,13,Downtown Yonge,Ring,Existing,0,314352.004,4835486.237,"{u'type': u'Point', u'coordinates': (-79.3815706607, 43.6592591042)}"
-79.37880624,43.66139045,7631620,18519,BP-22193,385,Church St,Granby St,North,Church St,East,,13,,Ring,Existing,0,314574.625,4835723.34,"{u'type': u'Point', u'coordinates': (-79.3788062349, 43.6613904526)}"
-79.37556215,43.65934988,7631621,18520,BP-22195,256,Jarvis St,Jarvis St,West,Ln E Mutual S Gerrard,South,,13,,Ring,Existing,0,314836.61,4835497.031,"{u'type': u'Point', u'coordinates': (-79.3755621461, 43.659349882)}"
-79.37511132,43.65820297,7631622,18521,BP-22197,222,Jarvis St,Jarvis St,West,George St,West,,13,,Ring,Existing,0,314873.164,4835369.67,"{u'type': u'Point', u'coordinates': (-79.3751113124, 43.6582029698)}"
-79.37739552,43.6600278,7631623,18522,BP-22317,99,Gerrard St E,Gerrard St E,South,Mutual St,West,,13,,Ring,Existing,0,314688.627,4835572.124,"{u'type': u'Point', u'coordinates': (-79.3773955182, 43.6600278011)}"
-79.37688492,43.65831384,7631624,18523,BP-22325,83,Gould St,Gould St,South,Mutual St,West,,13,,Ring,Existing,0,314730.092,4835381.774,"{u'type': u'Point', u'coordinates': (-79.3768849152, 43.658313846)}"
-79.37694846,43.65774369,7631625,18524,BP-22326,165,Dalhousie St,Dalhousie St,East,Gould St,South,,13,,Ring,Existing,0,314725.06,4835318.426,"{u'type': u'Point', u'coordinates': (-79.3769484671, 43.657743697)}"
-79.38279142,43.65366563,7631626,18525,BP-22225,483,Bay St,Bay St,East,Albert St,North,,13,Downtown Yonge,Ring,Existing,0,314254.42,4834864.693,"{u'type': u'Point', u'coordinates': (-79.3827914239, 43.6536656268)}"
-79.3829046,43.65402693,7631627,18526,BP-22229,491,Bay St,Bay St,East,Hagerman St,South,,13,Downtown Yonge,Ring,Existing,0,314245.234,4834904.82,"{u'type': u'Point', u'coordinates': (-79.3829046028, 43.6540269402)}"
-79.42875791,43.70038631,7631628,18528,BP-22259,960,Eglinton Ave W,Eglinton Ave W,North,Rostrevor Rd,North,,8,Upper Village,Ring,Existing,0,310542.159,4840050.91,"{u'type': u'Point', u'coordinates': (-79.4287579049, 43.7003863079)}"
-79.37585321,43.66668519,7631629,18529,BP-22268,154,Wellesley St E,Wellesley St E,North,Homewood Ave,North,,13,,Ring,Existing,0,314811.915,4836311.909,"{u'type': u'Point', u'coordinates': (-79.3758532097, 43.6666851926)}"
-79.38655846,43.66236658,7631630,18530,BP-22278,860,Bay St,Grosvenor St,South,Bay St,West,,11,,Ring,Existing,0,313949.238,4835830.899,"{u'type': u'Point', u'coordinates': (-79.386558454, 43.6623665839)}"
-79.41719125,43.6390775,7631631,18531,BP-27477,120,Lynn Williams St,Lynn Williams St,West,East Liberty St,North,,10,Liberty Village,Ring,Existing,0,311481.236,4833240.693,"{u'type': u'Point', u'coordinates': (-79.417191252, 43.6390775013)}"
-79.4208442,43.63928384,7631632,18532,BP-27486,107,Atlantic Ave,Atlantic Ave,East,Ln S Snooker E Atlantic,North,,10,Liberty Village,Ring,Existing,0,311186.485,4833263.328,"{u'type': u'Point', u'coordinates': (-79.4208441915, 43.6392838353)}"
-79.41164169,43.63940949,7631633,18533,BP-27496,40,East Liberty St,Western Battery Rd,West,East Liberty St,North,,10,,Ring,Existing,0,311928.951,4833278.037,"{u'type': u'Point', u'coordinates': (-79.4116416849, 43.6394094941)}"
-79.4195321,43.63868335,7631634,18534,BP-27498,37,Hanna Ave,Hanna Ave,East,Liberty St,North,,10,Liberty Village,Ring,Existing,0,311292.412,4833196.72,"{u'type': u'Point', u'coordinates': (-79.4195321052, 43.6386833554)}"
-79.40316727,43.72918398,7631635,18539,BP-27541,3255,Yonge St,Yonge St,East,Cranbrooke Ave,East,,15,Yonge Lawrence Village,Ring,Existing,0,312601.044,4843252.295,"{u'type': u'Point', u'coordinates': (-79.4031672729, 43.7291839892)}"
-79.39924837,43.65815638,7631636,18540,BP-27553,252,College St,College St,North,Spadina Ave,East,,11,,Ring,Existing,0,312926.344,4835361.847,"{u'type': u'Point', u'coordinates': (-79.3992483726, 43.6581563739)}"
-79.39724471,43.65045817,7631637,18541,BP-27556,206,Spadina Ave,Spadina Ave,West,Sullivan St,South,,10,,Ring,Existing,0,313089.013,4834506.818,"{u'type': u'Point', u'coordinates': (-79.3972447051, 43.6504581713)}"
-79.39720762,43.65033504,7631638,18542,BP-27568,200,Spadina Ave,Spadina Ave,West,Phoebe St,North,,10,,Ring,Existing,0,313092.022,4834493.143,"{u'type': u'Point', u'coordinates': (-79.3972076138, 43.6503350443)}"
-79.39717665,43.65023023,7631639,18543,BP-27573,194,Spadina Ave,Spadina Ave,West,Phoebe St,North,,10,,Ring,Existing,0,313094.534,4834481.502,"{u'type': u'Point', u'coordinates': (-79.3971766525, 43.6502302317)}"
-79.39497254,43.65896723,7631640,18544,BP-27575,184-200,College St,College St,North,Henry St,West,,11,,Ring,Existing,0,313271.107,4835452.357,"{u'type': u'Point', u'coordinates': (-79.3949725363, 43.6589672373)}"
-79.39951365,43.6561431,7631641,18545,BP-27596,412,Spadina Ave,Spadina Ave,West,Cecil St,West,,11,Chinatown,Ring,Existing,0,312905.219,4835138.157,"{u'type': u'Point', u'coordinates': (-79.3995136409, 43.6561430954)}"
-79.39913129,43.65520126,7631642,18546,BP-27604,376,Spadina Ave,Baldwin St,North,Spadina Ave,West,,11,Chinatown,Ring,Existing,0,312936.186,4835033.562,"{u'type': u'Point', u'coordinates': (-79.3991312968, 43.6552012622)}"
-79.39789309,43.65840304,7631643,18547,BP-27610,224,College St,College St,North,Huron St,East,,11,,Ring,Existing,0,313035.623,4835389.384,"{u'type': u'Point', u'coordinates': (-79.3978930974, 43.6584030415)}"
-79.39763482,43.65140772,7631644,18548,BP-27614,246,Spadina Ave,Spadina Ave,West,Grange Ave,South,,10,Chinatown,Ring,Existing,0,313057.413,4834612.269,"{u'type': u'Point', u'coordinates': (-79.3976348238, 43.6514077237)}"
-79.399164,43.65523927,7631645,18549,BP-27616,380,Spadina Ave,Spadina Ave,West,Baldwin St,North,,11,Chinatown,Ring,Existing,0,312933.543,4835037.781,"{u'type': u'Point', u'coordinates': (-79.3991639999, 43.6552392678)}"
-79.3977846,43.65842301,7631646,18550,BP-27628,224,College St,College St,North,Huron St,East,,11,,Ring,Existing,0,313044.371,4835391.613,"{u'type': u'Point', u'coordinates': (-79.397784604, 43.6584230085)}"
-79.39724913,43.65858513,7631647,18551,BP-27629,222,College St,College St,North,Ross St,North,,11,,Ring,Existing,0,313087.538,4835409.677,"{u'type': u'Point', u'coordinates': (-79.3972491343, 43.6585851288)}"
-79.39869741,43.65824402,7631648,18552,BP-27646,250,College St,College St,North,Huron St,West,,11,,Ring,Existing,0,312970.771,4835371.639,"{u'type': u'Point', u'coordinates': (-79.3986974127, 43.6582440281)}"
